Judul;Kode Eksemplar;Jumlah Buku yang dipinjam;Frekuensi Peminjaman
Si anak savana;49940;2;Jarang dipinjam
Seni bijak berbicara refleksi untuk selalu berucap baik dan bermanfaat;50737;2;Jarang dipinjam
Pengantar ilmu ekonomi makro( teori & soal );P01410006;5;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );33973;4;Sering dipinjam
Makroekonomi;304PB3.5;2;Jarang dipinjam
Pengantar ilmu ekonomi makro( teori & soal );33976;1;Jarang dipinjam
Teori ekonomi makro suatu pengantar;28144;7;Sering dipinjam
AKUNTANSI MANAJEMEN TEORI DAN APLIKASI;29223;2;Jarang dipinjam
Teori ekonomi mikro suatu pengantar;316PB3.4;6;Sering dipinjam
Teori ekonomi mikro suatu pengantar;316PB3.1;6;Sering dipinjam
Teori ekonomi mikro suatu pengantar;316PB3.3;4;Sering dipinjam
Pengantar ekonomi makro;22559;1;Jarang dipinjam
Teori ekonomi mikro suatu pengantar;316PB3.2;5;Sering dipinjam
EKONOMI MATEMATIKA BISNIS;33869;4;Sering dipinjam
Pengantar ekonomi makro edisi 7;45477;6;Sering dipinjam
ECONOMICS PENGANTAR MIKRO DAN MAKRO;1406.3.2;7;Sering dipinjam
PENGANTAR ILMU EKONOMI EDISI 3;46738;3;Sering dipinjam
Pengantar ilmu ekonomi makro & mikro;40749;4;Sering dipinjam
Warren reeve fess accounting pengantar akuntansi buku satu;42287;2;Jarang dipinjam
KUHP kitab undang undang hukum pidana;49752;3;Sering dipinjam
Akuntansi Manajemen;44339;2;Jarang dipinjam
Akuntansi Manajemen;44431;2;Jarang dipinjam
Akuntansi manajemen : alat pengukuran dan pengambilan keputusan manajerial;27219;5;Sering dipinjam
Makroekonomi;304PB3.1;3;Sering dipinjam
BANTUAN HUKUM BUKAN HAK YANG DIBERI;12.545.5;1;Jarang dipinjam
ekonomi makro islami;390;3;Sering dipinjam
pengantar ilmu ekonomi makro;40178;6;Sering dipinjam
Auditing : pendekatan sektor publik dan privat;31820;1;Jarang dipinjam
Auditing : teori dan praktik dasar pemeriksaan akuntan publik;48117;2;Jarang dipinjam
Auditing dan Pelayanan Verifikasi Pendekatan Terpadu Ed 9;43835;2;Jarang dipinjam
Auditing dan Pelayanan Verifikasi Pendekatan Terpadu Ed 9;39024;2;Jarang dipinjam
Pengantar ilmu ekonomi makro( teori & soal );P01410001;5;Sering dipinjam
Hukum Bisnis Pasar Modal;32107;1;Jarang dipinjam
PENGANTAR EKONOMI MAKRO;17467;4;Sering dipinjam
pengantar ilmu ekonomi makro;40180;7;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );41749;4;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );P01410003;1;Jarang dipinjam
Etika bisnis bagi pelaku bisnis;28555;5;Sering dipinjam
Makro ekonomi Indonesia;33776;4;Sering dipinjam
Hukum Bisnis Pasar Modal;15.566.1;1;Jarang dipinjam
Hukum Bisnis pasar modal;300;1;Jarang dipinjam
Makro ekonomi : aplikasi untuk indonesia;47592;6;Sering dipinjam
Pengantar Teori Ekonomi;11;3;Sering dipinjam
Hukum Bisnis Pasar Modal;32106;1;Jarang dipinjam
Metode penelitian bahasa;M220.1;1;Jarang dipinjam
Metode linguistik;23452;2;Jarang dipinjam
PRAGMATIK;970THP3.1;2;Jarang dipinjam
PENGAJARAN PRAGMATIK;42895;2;Jarang dipinjam
Hukum bisnis untuk perusahaan;26681;4;Sering dipinjam
Makro ekonomi : aplikasi untuk indonesia;47593;8;Sering dipinjam
Pengantar Teori Ekonomi;33420;5;Sering dipinjam
Makroekonomi;304PB3.2;2;Jarang dipinjam
KUHP (Kitab Undang-Undang Hukum Pidana);15.225.1;1;Jarang dipinjam
Pengantar ilmu ekonomi makro( teori & soal );151;5;Sering dipinjam
KUHD (Kitab Undang-Undang Hukum Dagang);45659;1;Jarang dipinjam
hukum bisnis prinsip dan pelaksanaannya diindonesia;40075;3;Sering dipinjam
Makro ekonomi Indonesia;40411;4;Sering dipinjam
KUHP kitab undang undang hukum pidana;49750;3;Sering dipinjam
Business ethics etika bisnis;21395;4;Sering dipinjam
Business ethics etika bisnis;42313;4;Sering dipinjam
Auditing jilid 1;21576;5;Sering dipinjam
Auditing jilid 1;35315;4;Sering dipinjam
METODOLOGI PENELITIAN BISNIS DAN EKONOMI PENDEKATAN KUANTITATIF;38001;2;Jarang dipinjam
SEMANTIK 2;19554;3;Sering dipinjam
Semantik leksikal;24069;1;Jarang dipinjam
Pulang pergi;49776;4;Sering dipinjam
Sagaras;49913;3;Sering dipinjam
Manajemen pendidikan;18386;2;Jarang dipinjam
Manajemen Sekolah;44607;1;Jarang dipinjam
Pengantar manajemen pendidikan di sekolah;1619;1;Jarang dipinjam
Manajemen pendidikan;20069;1;Jarang dipinjam
Manajemen pendidikan;18392;2;Jarang dipinjam
Manajemen pendidikan;18388;2;Jarang dipinjam
TEORI DAN APLIKASI MANAJEMEN PENDIDIKAN;50820;1;Jarang dipinjam
Mencari keadilan pandangan ktitis terhadap penegakkan hukum di Indonesia;49725;1;Jarang dipinjam
Pengantar ilmu hukum;25145;1;Jarang dipinjam
Teori hubungan internasional dari perspektif klasik sampai non-barat;49562;2;Jarang dipinjam
Pengantar statistika;20936;3;Sering dipinjam
Dasar-Dasar Statistika;30764;3;Sering dipinjam
pengantar ilmu ekonomi makro;40179;9;Sering dipinjam
Bisnis pengantar konsep, strategi, & kasus;40206;2;Jarang dipinjam
Bisnis pengantar konsep, strategi, & kasus;40205;1;Jarang dipinjam
PENGANTAR ILMU EKONOMI EDISI 3;29386;7;Sering dipinjam
Bisnis pengantar konsep, strategi, & kasus;40209;2;Jarang dipinjam
Pengantar ilmu ekonomi edisi ke 3;SM.262.1;4;Sering dipinjam
Pengantar ilmu ekonomi makro( teori & soal );P01410005;4;Sering dipinjam
Ekonomi Makro;339MHS3.1;10;Sering dipinjam
Bisnis pengantar konsep, strategi, & kasus;22;1;Jarang dipinjam
Menunggu itu ada seninya;50736;2;Jarang dipinjam
EKONOMI MAKRO;28330;6;Sering dipinjam
Teori ekonomi makro suatu pengantar;28140;2;Jarang dipinjam
Ekonomika Makro Edisi Revis;U0000141;7;Sering dipinjam
pengantar ilmu ekonomi makro;217;5;Sering dipinjam
Ekonomi makro;49195;4;Sering dipinjam
Hukum perdata indonesia;26250;1;Jarang dipinjam
Hukum administrasi negara;49535;1;Jarang dipinjam
Sosiologi hukum;49862;1;Jarang dipinjam
Akuntansi manajemen teori dan aplikasi;49710;5;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;278MHS3.2;8;Sering dipinjam
MANAJEMEN SUMBER DAYA MANUSIA;45454;1;Jarang dipinjam
Manajemen  penilaian kinerja karyawan;49475;1;Jarang dipinjam
Laut bercerita;49872;6;Sering dipinjam
Mataraisa;50780;3;Sering dipinjam
Pulang pergi;49778;4;Sering dipinjam
Majnun;50648;3;Sering dipinjam
Kitab undang-undang hukum perdata;1942;2;Jarang dipinjam
Kewirausahaan buku ajar untuk mahasiswa;49589;1;Jarang dipinjam
Lavender;50772;3;Sering dipinjam
MANAJEMEN KURIKULUM;15.41.1;1;Jarang dipinjam
Belajar & pembelajaran;19109;2;Jarang dipinjam
EVALUASI PEMBELAJARAN;17618;5;Sering dipinjam
STATISTIK PENELITIAN STUDI KASUS PENELITIAN MENGGUNAKAN SPSS;37179;1;Jarang dipinjam
PENGANTAR RISET OPERASI EDISI 3;32423;7;Sering dipinjam
AKUNTANSI MANAJEMEN;39619;4;Sering dipinjam
Akuntansi Manajemen Kumpulan Soal dan Pembahasannya;28333;1;Jarang dipinjam
AKUNTANSI MANAJEMEN SISTEM PROSES DAN PEMECAHAN SOSIAL;41143;2;Jarang dipinjam
Akuntansi manajemen pendekatan studi kasus;49103;5;Sering dipinjam
Akuntansi manajemen jilid 2;2243;6;Sering dipinjam
Akuntansi manajemen informasi untuk pengambilan keputusan strategis;2248;2;Jarang dipinjam
Senjata hebat para introver hal-hal yang dianggap;50709;4;Sering dipinjam
Auditing Suaru Pendekatan Terpadu Edisi 4 Jilid 1;11;2;Jarang dipinjam
Metodologi penelitian;50778;3;Sering dipinjam
Metodologi penelitian kuantitatif;48164;1;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;17558;8;Sering dipinjam
Akuntansi pajak;42505;1;Jarang dipinjam
Akuntansi pajak sesuai dengan undang-undang pajak baru;774HB3.1;2;Jarang dipinjam
MENYIMAK SEBAGAI SUATU KETERAMPILAN BERBAHASA;31392;2;Jarang dipinjam
fonologi bahasa indonesia tinjauan dekriptif sistem bunyi bahasa indonesia;32404;1;Jarang dipinjam
Kurikulum dan pembelajaran;19927;1;Jarang dipinjam
Mereka bukan anakku jalinan kasih yang tersisih;50230;2;Jarang dipinjam
fonologi bahasa indonesia tinjauan dekriptif sistem bunyi bahasa indonesia;20754;1;Jarang dipinjam
Kurikulum dan pembelajaran;20158;1;Jarang dipinjam
fonologi bahasa indonesia tinjauan dekriptif sistem bunyi bahasa indonesia;32502;1;Jarang dipinjam
Kurikulum dan pembelajaran;20477;1;Jarang dipinjam
MENYIMAK SEBAGAI SUATU KETERAMPILAN BERBAHASA;33595;2;Jarang dipinjam
fonologi bahasa indonesia tinjauan dekriptif sistem bunyi bahasa indonesia;30445;1;Jarang dipinjam
fonologi bahasa indonesia tinjauan dekriptif sistem bunyi bahasa indonesia;20753;1;Jarang dipinjam
Dasar-dasar kurikulum bahasa;17906;1;Jarang dipinjam
Untuk dibaca saat diri merasa gagal;49518;1;Jarang dipinjam
fonologi bahasa indonesia tinjauan dekriptif sistem bunyi bahasa indonesia;20813;1;Jarang dipinjam
Pengembangan kurikulum pendidikan : teknologi dan kejujuran;31078;1;Jarang dipinjam
Pengembangan kurikulum pendidikan : teknologi dan kejujuran;32147;2;Jarang dipinjam
Kurikulum dan pembelajaran;24460;1;Jarang dipinjam
fonologi bahasa indonesia tinjauan dekriptif sistem bunyi bahasa indonesia;39649;1;Jarang dipinjam
Akuntansi pajak sesuai dengan undang-undang pajak baru;34201;1;Jarang dipinjam
AKUNTASI PAJAK;5911;1;Jarang dipinjam
Akuntansi Pajak Lanjutan;31867;1;Jarang dipinjam
ETIKA BISNIS EDISI 5;33484;3;Sering dipinjam
Kurikulum dan pembelajaran;24446;1;Jarang dipinjam
Agama Seni;1282.3.1;1;Jarang dipinjam
MANTRA KEHIDUPAN;17666;2;Jarang dipinjam
Pembebasan perempuan;22234;1;Jarang dipinjam
Dasar-dasar akuntansi jilid 2;41843;4;Sering dipinjam
Dasar-dasar akuntansi jilid 2;41840;4;Sering dipinjam
Dasar-dasar akuntansi jilid 2;41842;4;Sering dipinjam
Dasar-dasar akuntansi jilid 2;41841;5;Sering dipinjam
Patah untuk tumbuh;50742;1;Jarang dipinjam
Moga bunda disayang allah;49980;3;Sering dipinjam
Matahari minor;49942;4;Sering dipinjam
Janji;49892;4;Sering dipinjam
ACCOUNTING PENGANTAR AKUNTANSI BUKU 2;40413;2;Jarang dipinjam
Biologi Jilid 1 Edisi 8;41954;1;Jarang dipinjam
Pergulatan Ideologi Partai Politik di Indonesia;43574;1;Jarang dipinjam
Dinamika sistem politik indonesia;42208;1;Jarang dipinjam
AKUNTANSI MANAJEMEN;29561;2;Jarang dipinjam
Auditing Suatu Pendekatan Terpadu Jilid 1;308pb3.2;3;Sering dipinjam
Akuntansi manajemen jilid 2;2243;5;Sering dipinjam
Penyalin cahaya sebuah novel adaptasi;49903;2;Jarang dipinjam
Mereka bilang aku kemlinthi;50812;3;Sering dipinjam
Moga bunda disayang allah;49979;3;Sering dipinjam
Harga sebuah percaya;49782;2;Jarang dipinjam
Akuntansi manajemen edisi 3 revisi;18974;7;Sering dipinjam
Auditing Konsep dasar dan pedoman pemeriksaan akuntansi publik;A000012;6;Sering dipinjam
Auditing Konsep dasar dan pedoman pemeriksaan akuntansi publik;A000013;6;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;18979;6;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;18978;5;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;28380;5;Sering dipinjam
Akuntansi manajemen edisi 3 revisi;40275;7;Sering dipinjam
Auditing Konsep dasar dan pedoman pemeriksaan akuntansi publik;A000011;5;Sering dipinjam
PRAGMATIK;31551;2;Jarang dipinjam
Asas-asas linguistik umum;831PB3.1;1;Jarang dipinjam
Pengembangan kurikulum baru;18686;1;Jarang dipinjam
AKUNTANSI MANAJEMEN;17583;1;Jarang dipinjam
Lehninger Jilid 1;20313;1;Jarang dipinjam
Dasar-dasar biokomia;42409;1;Jarang dipinjam
Akuntansi Manajemen untuk perencanaan, pengendalian dan pengembilan keputusan;50281;3;Sering dipinjam
Akuntansi Manajerial Accounting Managerial;2665;5;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;41520;9;Sering dipinjam
AKUNTANSI PAJAK ED.2;24173;3;Sering dipinjam
Akuntansi manajemen informasi untuk pengambilan keputusan strategis;2249;4;Sering dipinjam
Auditing Suatu Pendekatan Terpadu Jilid 1;308PB3.3;3;Sering dipinjam
Akuntansi managemen sebuah pengantar;2000;3;Sering dipinjam
Auditing Suatu Pendekatan Terpadu Jilid 1;308PB3.1;3;Sering dipinjam
Akuntansi manajemen informasi untuk pengambilan keputusan strategis;2248;5;Sering dipinjam
Sosiologi politik;23163;1;Jarang dipinjam
Akuntansi perpajakan;1625;2;Jarang dipinjam
Akuntansi manajemen edisi 3 revisi;28379;8;Sering dipinjam
Dinamika sistem politik indonesia;2572;1;Jarang dipinjam
Hukum tata negara indonesia;17682;3;Sering dipinjam
Sistem politik Indonesia;60067;1;Jarang dipinjam
EKONOMI MAKRO;272HB3.1;8;Sering dipinjam
HUKUM BISNIS;28166;2;Jarang dipinjam
Ekonomi makro pengantar;40947;8;Sering dipinjam
HUKUM BISNIS;28164;3;Sering dipinjam
HUKUM BISNIS;28169;2;Jarang dipinjam
HUKUM BISNIS;28171;2;Jarang dipinjam
EKONOMI MATEMATIKA BISNIS;33871;2;Jarang dipinjam
Metodologi penelitian panduan lengkap penelitian dengan mudah;48003;1;Jarang dipinjam
Akuntansi manajemen edisi 3 revisi;28378;6;Sering dipinjam
administrasi pendidikan;18456;1;Jarang dipinjam
Supervisi pendidikan dan pembelajaran;47163;1;Jarang dipinjam
Pemikiran politik barat;39965;1;Jarang dipinjam
Diplomasi perbatasan konsep dan praktik di Indonesia;46860;1;Jarang dipinjam
pengantar ilmu ekonomi makro;40177;9;Sering dipinjam
hukum bisnis prinsip dan pelaksanaannya diindonesia;40075;3;Sering dipinjam
Pengantar ekonomi makro tinjauan ekonomi syariah;40392;7;Sering dipinjam
Akuntansi pajak ed.6;18714;1;Jarang dipinjam
Akuntansi manajemen informasi untuk pengambilan keputusan strategis;2248;2;Jarang dipinjam
Akuntansi manajerial ed.14 bku 1;31940;4;Sering dipinjam
Akuntansi pajak;40849;2;Jarang dipinjam
Akuntansi Pajak Lanjutan;sm.591.2;1;Jarang dipinjam
STRATEGI BELAJAR MENGAJAR;30425;1;Jarang dipinjam
Strategi belajar mengajar di kelas;1826;2;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;30012;2;Jarang dipinjam
Edensor;60007;1;Jarang dipinjam
Awan;47025;1;Jarang dipinjam
Bintang anak tuhan;22561;2;Jarang dipinjam
Langit dan bumi sahabat kami;29394;1;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;30677;3;Sering dipinjam
Metode Penelitian Kuantitatif;46667;7;Sering dipinjam
Metode penelitian kuantitatif kualitatif dan R&D Best seller;45313;5;Sering dipinjam
AKUNTANSI SEKTOR PUBLIK;34073;2;Jarang dipinjam
Akuntansi sektor publik;1687;2;Jarang dipinjam
Teori, konsep dan aplikasi Akuntansi sektor publik;2244;3;Sering dipinjam
Teori, konsep dan aplikasi Akuntansi sektor publik;2244;1;Jarang dipinjam
Akuntansi pajak;41674;1;Jarang dipinjam
Akuntansi sektor publik organisasi non laba EDISI 2;33017;1;Jarang dipinjam
Akuntansi sektor publik;1947;1;Jarang dipinjam
Model-model pembelajaran;18419;3;Sering dipinjam
Mendesain model pembelajaran inovatif, progresif, dan kontekstual;49745;1;Jarang dipinjam
MENULIS UNTUK DIBACA: FEATURE&KOLOM;33445;2;Jarang dipinjam
Analisis data statistik : sebuah pendekatan praktis pengolahan statistik bermuatan karakter;49186;2;Jarang dipinjam
Hukum administrasi negara;h004;9;Sering dipinjam
Pokok-pokok materi statistik 2 ( statistik infrensif);31501;2;Jarang dipinjam
Akuntansi manajemen untuk hotel dan restoran;1639;1;Jarang dipinjam
AKUNTANSI BIAYA EDISI 3;21570;1;Jarang dipinjam
AKUNTANSI MANAJEMEN;39610;2;Jarang dipinjam
Akuntansi manajemen untuk usahanya;24378;1;Jarang dipinjam
Akuntansi manajemen teori dan aplikasi;49711;6;Sering dipinjam
AKUNTANSI MANAJEMEN;35507;3;Sering dipinjam
Evaluasi kurikulum;50543;1;Jarang dipinjam
Kurikulum dan pembelajaran;19929;1;Jarang dipinjam
Dasar-dasar kurikulum bahasa;17909;1;Jarang dipinjam
Kurikulum dan pembelajaran;24445;1;Jarang dipinjam
Akuntansi manajemen jil.1;269;5;Sering dipinjam
Akuntansi Manajemen;44339;2;Jarang dipinjam
Analisis Wacana teori & metode;1098PB3.5;1;Jarang dipinjam
Kimia dasar konsep-konsep inti jilid 2;48514;1;Jarang dipinjam
Kimia dasar konsep-konsep inti;17993;1;Jarang dipinjam
Kimia lingkungan;49029;2;Jarang dipinjam
Kimia dasar konsep-konsep inti;17992;1;Jarang dipinjam
Kimia dasar;49522;1;Jarang dipinjam
Kimia dasar konsep-konsep inti;17991;1;Jarang dipinjam
Kimia dasar konsep-konsep inti;17994;1;Jarang dipinjam
Kimia lingkungan;40892;1;Jarang dipinjam
Akuntansi manajemen jil.1;2240;3;Sering dipinjam
Akuntansi perpajakan;1236.3.2;4;Sering dipinjam
AUDITING;24669;3;Sering dipinjam
AUDITING;24668;2;Jarang dipinjam
Akuntansi perpajakan ed.2;32062;7;Sering dipinjam
AKUNTANSI MANAJEMEN EDISI 4 JILID 2;270;5;Sering dipinjam
KUMPULAN RUMUS KIMIA SMA;50578;1;Jarang dipinjam
Kimia dasar konsep-konsep inti;17989;1;Jarang dipinjam
Lavender;50772;3;Sering dipinjam
AKUNTANSI PAJAK ED.2;24172;4;Sering dipinjam
Akuntansi manajemen jil.1;2239;3;Sering dipinjam
Akuntansi Manajemen Perusahaan Jasa;U0040504;1;Jarang dipinjam
Akuntansi Manajemen Perusahaan Jasa;U0040501;1;Jarang dipinjam
HUKUM ACARA PERDATA EDISI KELIMA;166PB3.3;3;Sering dipinjam
akuntasi sektor publik;21680;1;Jarang dipinjam
Akuntansi sektor publik;17701;3;Sering dipinjam
Akuntansi sektor publik organisasi non laba EDISI 2;33808;1;Jarang dipinjam
Geometri analitik pada ruang dimensi dua;48782;2;Jarang dipinjam
Akuntansi Manajemen;44445;2;Jarang dipinjam
Akuntansi manajemen jil.1;2239;4;Sering dipinjam
Business ethics etika bisnis;29041;4;Sering dipinjam
AKUNTANSI  KEUANGAN DASAR 1 Teori dan kasus;29095;1;Jarang dipinjam
Etika Bisnis dan Implemantasinya;239HB3.1;1;Jarang dipinjam
AKUNTANSI  KEUANGAN DASAR 1 Teori dan kasus;269.11;1;Jarang dipinjam
Business ethics etika bisnis;18995;3;Sering dipinjam
Akuntansi keuangan : pemahaman perhitungan dan pencatatan akuntansi keuangan;48156;2;Jarang dipinjam
Metodologi penelitian;49915;2;Jarang dipinjam
Today's business ethics;28319;2;Jarang dipinjam
AKUNTANSI  KEUANGAN DASAR 1 Teori dan kasus;29094;1;Jarang dipinjam
Akuntansi keuangan intermediate financial reporting buku 1;2310;1;Jarang dipinjam
Akuntansi manajemen : alat pengukuran dan pengambilan keputusan manajerial;27221;7;Sering dipinjam
Akuntansi manajemen : alat pengukuran dan pengambilan keputusan manajerial;27220;7;Sering dipinjam
AKUNTANSI KEUANGAN;33293;1;Jarang dipinjam
AKUNTANSI  KEUANGAN DASAR 1 Teori dan kasus;28181;1;Jarang dipinjam
Dasar-dasar akuntansi jilid 1;28624;2;Jarang dipinjam
Akuntansi keuangan intermediate financial reporting buku 2;2309;1;Jarang dipinjam
AKUNTANSI KEUANGAN;33288;1;Jarang dipinjam
akuntansi manajemen ed. 3;24613;2;Jarang dipinjam
Akuntansi keuangan : pemahaman perhitungan dan pencatatan akuntansi keuangan;47993;1;Jarang dipinjam
Akuntansi keuangan : pemahaman perhitungan dan pencatatan akuntansi keuangan;48154;1;Jarang dipinjam
Akuntansi keuangan : pemahaman perhitungan dan pencatatan akuntansi keuangan;47992;2;Jarang dipinjam
Akuntansi keuangan : pemahaman perhitungan dan pencatatan akuntansi keuangan;48155;2;Jarang dipinjam
Metodologi Penelitian Kuantitatif : Ekonomi, Sosiologi, Komunikasi, Administrasi, Pertanian dan Lainnya;45427;4;Sering dipinjam
METODOLOGI PENELITIAN KUALITATIF;48189;2;Jarang dipinjam
Metode Penelitian Kuantitatif, Kualitatif dan R&D;21936;6;Sering dipinjam
AKUNTANSI  KEUANGAN DASAR 1 Teori dan kasus;28129;2;Jarang dipinjam
Akuntansi pengantar 1;32075;1;Jarang dipinjam
akuntansi keuangan versi IFRS+;34200;1;Jarang dipinjam
Ekonomika Makro Edisi Revis;u0000145;6;Sering dipinjam
Makroekonomi : Teori Pengantar Edisi Ketiga;178SM3;8;Sering dipinjam
Sejarah hukum suatu pengantar;u0000461;1;Jarang dipinjam
Hukum perdata indonesia;26247;2;Jarang dipinjam
AKUNTANSI MANAJEMEN SISTEM PROSES DAN PEMECAHAN SOSIAL;50334;3;Sering dipinjam
akuntasi sektor publik;21681;1;Jarang dipinjam
Akuntansi sektor publik;32100;2;Jarang dipinjam
AKUNTANSI PAJAK ED.2;24171;4;Sering dipinjam
PENGANTAR ILMU EKONOMI EDISI 3;29387;5;Sering dipinjam
ETIKA BISNIS EDISI 5;33485;3;Sering dipinjam
Geometri analitik;47484;4;Sering dipinjam
Quantum learning;42426;3;Sering dipinjam
Sepotong hati yang baru;49811;5;Sering dipinjam
Harga sebuah percaya;49783;5;Sering dipinjam
Sistem informasi akuntansi teori dan desain;48360;1;Jarang dipinjam
SISTEM INFORMASI AKUNTANSI;24329;1;Jarang dipinjam
SISTEM AKUNTANSI;25026;1;Jarang dipinjam
Tears of salt;45516;2;Jarang dipinjam
9 Things successful people do differently;45675;1;Jarang dipinjam
A fierce heart;45788;1;Jarang dipinjam
Pragmatik kesantunana imperatif bahasa indonesia;447;2;Jarang dipinjam
PRAGMATIK;31347;2;Jarang dipinjam
PRAGMATIK;20380;3;Sering dipinjam
Psikolinguistik;20701;2;Jarang dipinjam
Pengajaran semantik;30040;2;Jarang dipinjam
Dasar-dasar ilmu semantik;41056;3;Sering dipinjam
Psikolinguistik;530;2;Jarang dipinjam
Pengantar statistik pendidikan;32151;3;Sering dipinjam
pengantar ilmu ekonomi makro;217;5;Sering dipinjam
Teori ekonomi mikro suatu pengantar;316PB3.4;6;Sering dipinjam
Akuntansi keuangan lanjutan (perspektif Indonesia) buku 2;42640;8;Sering dipinjam
AKUNTANSI SEKTOR PUBLIK: Suatu Pengantar;2054;1;Jarang dipinjam
Akuntansi sektor publik;42244;5;Sering dipinjam
PENGANTAR RISET OPERASI EDISI 3;41853;6;Sering dipinjam
De journal sebuah novel tentang seorang backpaker wanita keliling dunia Edisi 2;46960;1;Jarang dipinjam
Berjuta rasanya;50637;6;Sering dipinjam
METODOLOGI PENELITIAN KUALITATIF;46607;1;Jarang dipinjam
Dasar-dasar akuntansi jilid 2;1266.3.1;1;Jarang dipinjam
AKUNTANSI SEKTOR PUBLIK: Suatu Pengantar;214.41;1;Jarang dipinjam
Akuntansi sektor publik;2127;1;Jarang dipinjam
KUHP kitab undang undang hukum pidana;49746;2;Jarang dipinjam
KUHP kitab undang undang hukum pidana;49752;3;Sering dipinjam
KUHP kitab undang undang hukum pidana;49748;2;Jarang dipinjam
akuntasi sektor publik;21677;1;Jarang dipinjam
Cliffs toefl preparation guide;40297;2;Jarang dipinjam
Akuntansi sektor publik;21950;1;Jarang dipinjam
AKUNTANSI SEKTOR PUBLIK;34071;1;Jarang dipinjam
Teori, konsep dan aplikasi Akuntansi sektor publik;2245;2;Jarang dipinjam
Pengajaran gaya bahasa;18424;1;Jarang dipinjam
Diksi dan Gaya Bahasa;D000012;2;Jarang dipinjam
SEMANTIK 1;18569;1;Jarang dipinjam
Auditing buku 2;321PB3.8;2;Jarang dipinjam
Akuntansi perpajakan;1624;1;Jarang dipinjam
Auditing buku 1;40244;1;Jarang dipinjam
Akuntansi perpajakan;441sm3;2;Jarang dipinjam
AKUNTANSI SEKTOR PUBLIK: Suatu Pengantar;24763;2;Jarang dipinjam
Akuntansi sektor publik di indonesia;781HB3.1;6;Sering dipinjam
Akuntansi perpajakan;090sm3;2;Jarang dipinjam
Akuntansi perpajakan;31702;3;Sering dipinjam
Akuntansi perpajakan;31701;1;Jarang dipinjam
Akuntansi pajak sesuai dengan undang-undang pajak baru;34202;1;Jarang dipinjam
Akuntansi perpajakan;1236.3.1;1;Jarang dipinjam
Akuntansi perpajakan;29285;2;Jarang dipinjam
Akuntansi pajak sesuai dengan undang-undang pajak baru;34203;1;Jarang dipinjam
Akuntansi perpajakan;31703;1;Jarang dipinjam
Akuntansi perpajakan;1236.3.3;4;Sering dipinjam
Morfologi;19690;2;Jarang dipinjam
Pulang pergi;49777;4;Sering dipinjam
Pengantar sosiolinguistik;42668;1;Jarang dipinjam
Metodologi penelitian kualitatif;20557;2;Jarang dipinjam
AKUNTANSI MANAJEMEN;41115;5;Sering dipinjam
AKUNTANSI MANAJEMEN TEORI DAN APLIKASI;29223;2;Jarang dipinjam
Akuntansi biaya;44023;1;Jarang dipinjam
Akuntansi manajemen;47840;1;Jarang dipinjam
Akuntansi Manajemen;U00273;3;Sering dipinjam
Hukum Bisnis untuk Perusahaan;15.424.1;2;Jarang dipinjam
hukum bisnis prinsip dan pelaksanaannya diindonesia;15.423.1;2;Jarang dipinjam
Akuntansi manajemen teori dan aplikasi;49710;5;Sering dipinjam
Akuntansi manajerial suatu orientasi praktis;1424.3.1;1;Jarang dipinjam
AKUNTANSI BIAYA BIAYA PRODUKSI;29199;1;Jarang dipinjam
akuntansi biaya;24617;1;Jarang dipinjam
AKUNTANSI BIAYA BIAYA PRODUKSI;29201;1;Jarang dipinjam
Jutaan UMKM Pahlawan pajak urus pajak itu sangat sangat mudah;509;2;Jarang dipinjam
Ketentuan Umum Perpajakan, Lengkap Dengan Undang-undang No.28 Tahun 2007;41643;2;Jarang dipinjam
Konsep dasar perpajakan;U00004;2;Jarang dipinjam
Ketentuan Umum Perpajakan, Lengkap Dengan Undang-undang No.28 Tahun 2007;15.573.2;2;Jarang dipinjam
Perpajakan: Teori dan Kasus buku 1;28802;2;Jarang dipinjam
Buku Pintar Pajak;43075;2;Jarang dipinjam
AKUNTANSI MANAJEMEN;41969;1;Jarang dipinjam
Akuntansi biaya;2784;1;Jarang dipinjam
Akuntansi biaya;17627;1;Jarang dipinjam
Pulang pergi;49781;2;Jarang dipinjam
AKUNTANSI MANAJEMEN TEORI DAN APLIKASI;29225;1;Jarang dipinjam
AKUNTANSI BIAYA EDISI 4;24717;1;Jarang dipinjam
50 STRATEGI PEMBELAJARAN POPULER;37398;3;Sering dipinjam
Latihan Ujian: Hukum Pidana;15.368.1;2;Jarang dipinjam
HUKUM BISNIS;28168;4;Sering dipinjam
Principles of economics pengantar ekonomi makro;311PB3.3;5;Sering dipinjam
Dasar-dasar akuntansi jilid 1;33833;1;Jarang dipinjam
