Judul;Nomor Klasifikasi;Nama Klasifikasi;Kode Eksemplar
Semua bisa menjadi programer ruby basic;5;Karya umum;<46796><60792>
Cerita dari Digul;813;Kesusastraan;<60766>
Twenty-four eyes dua belas pasang mata;813;Kesusastraan;<60776>
Mrs. Dalloway;800;Kesusastraan;<60775>
Seni merayu tuhan;813;Kesusastraan;<60774>
Manjali;813;Kesusastraan;<60773>
Ketika aku tak tahu apa yang aku inginkan;813;Kesusastraan;<60772>
Teaching and learnig through reflective practice panduan praktis belajar mengajar;371;Ilmu-ilmu sosial;<60701>
Riset & publikasi ilmiah;371;Ilmu-ilmu sosial;<60700>
Perubahan kecil yang memberikan hasil luar biasa atomic habits;390;Ilmu-ilmu sosial;<60698>
Dasar-dasar perencanaan bisnis dan pemasaran;658;Ilmu-ilmu terapan;<60709>
How to win friends & influence people in the digital age;155;Filsafat;<60708>
Formula mencari investasi saham terbaik j;332;Ilmu-ilmu sosial;<60707>
Analisis fundamental (trading dan investasi saham);332;Ilmu-ilmu sosial;<60705>
A TO Z Mazhab filsafat dari abad pertengahan hingga post-strukturalisme;100;Filsafat;<60702>
How to win friends & influence people edi yang diperbarui;155;Filsafat;<60717>
Tentang kamu;813;Kesusastraan;<60713>
Ommelanden perkembangan masyarakat dan ekonomi;900;Geografi dan sejarah;<60712>
Pendidikan islam unggul di era revolusi industri dan merdeka belajar;297;Agama;<60710>
How to have a beautiful mind;155;Filsafat;<60755>
Larung;813;Kesusastraan;<60752>
Daun yang jatuh tak pernah membenci angin;813;Kesusastraan;<60751>
Wanita yang dirindukan penduduk langit;813;Kesusastraan;<60746>
Kisah dari halaman belakang;813;Kesusastraan;<60744>
Maya;813;Kesusastraan;<60739>
Lalita;813;Kesusastraan;<60738>
Demokrasi di era post trust;323;Ilmu-ilmu sosial;<60734>
Alih wahana;4;Karya umum;<45446>
Hidup adalah solusi all life is problem solving;158;Filsafat;<60733>
Selena;813;Kesusastraan;<60669><60749><60777>
Bedebah di ujung tanduk;813;Kesusastraan;<60722>
Xoxo;813;Kesusastraan;<60721>
Aku, kau dan teripang;813;Kesusastraan;<60720><60735><60747><60748><60765>
Aplikasi IBM 26 untuk penelitian perikanan;639;Ilmu-ilmu terapan;<60732>
Aplikasi komputer matematika menggunakan matlab untuk tingkat;519;Ilmu-ilmu murni;<60731>
Sepotong hati yang baru;813;Kesusastraan;<49810><49811><60771>
Berjuta rasanya;813;Kesusastraan;<50637><60770>
Rindu;813;Kesusastraan;<50693><60745><60769>
Janji;813;Kesusastraan;<49892><60768>
Perbandingan sistem politik;320;Ilmu-ilmu sosial;<49554><60404><60581><60599><60637><60756><60915>
Sagaras;813;Kesusastraan;<49913><49976><49977><49978><60753>
Bibi gill;813;Kesusastraan;<49921><49937><60743>
Pedoman sukses budi daya ikan lele;639;Ilmu-ilmu terapan;<50760><60679><60741>
No sales, no business;650;Ilmu-ilmu terapan;<60681>
Strategi literasi politik sebuah pendekatan teoretis dan praktis;320;Ilmu-ilmu sosial;<60682>
Akuntansi dasar untuk bisnis teori dan praktik;657;Ilmu-ilmu terapan;<60685>
Pengantar data science;4;Karya umum;<60687>
Manajemen investasi dan teori portofolio;650;Ilmu-ilmu terapan;<60689>
Metode penelitian pendidikan;1;Karya umum;<60691>
Merawat luka batin;615;Ilmu-ilmu terapan;<60693>
Pengantar filsafat hukum cetakan ke 2;340;Ilmu-ilmu sosial;<60694>
Setiap pebisnis hurus punya buku ini rahasia meningkatkan cuan bagi pebisnis pumula;650;Ilmu-ilmu terapan;<50658><50747><60729>
Teori organisasi pemerintahan daerah;352;Ilmu-ilmu sosial;<60728>
Manajemen sumber daya manusia;351;Ilmu-ilmu sosial;<60727>
Analisis laporan keuangan konsep & aplikasi;657;Ilmu-ilmu terapan;<60665>
Strategi mudah trading dan investasi crypto currency;332;Ilmu-ilmu sosial;<60725>
Statistika penelitian pendidikan analisis perhitungan matematis dan aplikasi SPSS;310;Ilmu-ilmu sosial;<60675>
Filsafat ilmu & ilmu hukum;121;Filsafat;<60677>
Pengantar hukum administrasi indonesia introduction to the indonesia administative law;340;Ilmu-ilmu sosial;<60678>
Kurikulum dan pembelajaran;375;Ilmu-ilmu sosial;<24448><45423><45421>
The calm investor;333;Ilmu-ilmu sosial;<50741><60607><60714>
Panjang umur dengan hormon bahagia the miracle of endorphin;152;Filsafat;<60703>
Kebijakan publik aktor, model dan proses;352;Ilmu-ilmu sosial;<49844><60684><60692>
Pengantar ilmu politik;320;Ilmu-ilmu sosial;<2837.1>
Kurikulum dan pembelajaran;375;Ilmu-ilmu sosial;<239.011><236><20135><20158><20187><20188><20477><20673><31483><24445><24446><24447><24449><24450><24458><24459><24460><27798>
Hukum Acara Perdata Lengkap & Praktis;347;Ilmu-ilmu sosial;<15.282.1><15.282.2><60674>
Instrumen-instrumen hukum tentang arbitrase;340;Ilmu-ilmu sosial;<50734><60673>
Politik muka ganda peran parpol menegakkan peradaban politik;320;Ilmu-ilmu sosial;<49595><60670>
Ekologi  perairan tropis ed. 3;578;Ilmu-ilmu murni;<46684><46685><46686><46687><46688><48131><48132><48133><60605>
Analisis mengenal dampak lingkungan;333;Ilmu-ilmu sosial;<48277><49548><60651>
Manajemen  penilaian kinerja karyawan;658;Ilmu-ilmu terapan;<49474><49475><49969><49970><60265><60606><60650>
Botani farmasi;615;Ilmu-ilmu terapan;<60591>
Menuju kekuatan utama dunia sekilas politik luar negeri cina;327;Ilmu-ilmu sosial;<60593>
Analisis data dengan statistika nonparametrik;520;Ilmu-ilmu murni;<49859><49935><50705><60329><60648>
Realitas komunikasi politik indonesia kontemporer;300;Ilmu-ilmu sosial;<60590>
Tip & trik formula excel 2007, 2010,2013, 2016, 2019;6;Karya umum;<60588>
Gerakan sosial pemberdayaan masyarakat sipil;303;Ilmu-ilmu sosial;<60589>
Segala sesuatu yang perlu anda ketahui tentang kosmologi;523;Ilmu-ilmu murni;<60594>
Massive open online course (mooc) sebuah tren pendidikan masa depan;371;Ilmu-ilmu sosial;<48236><48299><60643>
Hukum agraria;346;Ilmu-ilmu sosial;<60595>
Diplomasi ekonomi indonesia di timur tengah: arab saudi dan qatar;330;Ilmu-ilmu sosial;<60596>
Biokimia produk perikanan;597;Ilmu-ilmu murni;<48198><48245><49965><49966><60427><60641>
Bahasa Indonesia untuk perguruan tinggi terampil berbahasa menulis,;410;Bahasa;<60597>
Manajemen pengembangan human capital;144;Filsafat;<60598>
Konflik Rusia-Ukraina : tinjauan dari berbagai perspektif;327;Ilmu-ilmu sosial;<60600><60601>
Mencari keadilan pandangan ktitis terhadap penegakkan hukum di Indonesia;340;Ilmu-ilmu sosial;<49721><49722><49723><49724><49725><49801><60472><60638>
Dasar-dasar ilmu politik;320;Ilmu-ilmu sosial;<045sm3><488sm3><1486.3><1486.4><1486.5><1486.6><1486.7><1486.8><1486.2><1486.10><17356><17631><19967><60070><50275><33158><33159><22366><42443><42730><23199><23205><23356><23389><23390><21465><24420><28095><29255><29395><29421><29424><38540><39192><44200><49631><49632><49633><49634><49635><49636><49637><49638><49639><49640><49641><49642><49643><49644><49645><1486.1><60636>
Penuntun praktis membuat pleidoi;340;Ilmu-ilmu sosial;<49716><49717><49718><49719><49720><49828><50666><60353><60388><60631>
Belajar pemrograman python untuk guru & murid;5;Karya umum;<49897><50749><60457><60623>
Hukum acara peradilan tata usaha;343;Ilmu-ilmu sosial;<49885><49984><60622>
Damai di antara pusaran konflik papua;321;Ilmu-ilmu sosial;<50762><50782><50786><60621>
UMKM 4.0 Strategi UMKM Memasuki era digital;354;Ilmu-ilmu sosial;<60560>
Hukum kontrak bisnis;346;Ilmu-ilmu sosial;<60544><60616><60617>
Reinventing school mobilisasi momentum perubahan menuju sekolah transformatif;370;Ilmu-ilmu sosial;<49514><49571><49582><50692><60369><60370><60371><60611>
Manajemen pelayanan publik;352;Ilmu-ilmu sosial;<48007><48008><48009><48010><48011><48012><48013><49393><49394><49650><49657><49704><49705><49791><49805><49864><50970><60352><60363><60390><60391><60604>
Mengeksplorasi formula dan fungsi logika excel;6;Karya umum;<49846><50835><60313><60397><60603>
Mengenal filsafat hukum;340;Ilmu-ilmu sosial;<48192><48193><60592>
The value investors pelajaran dari para fund manager top dunia;333;Ilmu-ilmu sosial;<60575>
PSIKOLOGI PENDIDIKAN;370;Ilmu-ilmu sosial;<37392><44345><45417><60587>
Pengantar bioteknologi untuk pemuliaan tanaman;661;Ilmu-ilmu terapan;<60576>
Komunikasi bisnis;658;Ilmu-ilmu terapan;<60578>
Fungsi variabel kompleks;511;Ilmu-ilmu murni;<60469><60585>
Sosiologi komunikasi teori, paradigma, cybercommunity, ed.2;302;Ilmu-ilmu sosial;<60580>
PENGANTAR HUKUM INDONESIA (PHI);340;Ilmu-ilmu sosial;<15.439.1><15.439.2><60583>
Kamus hubungan internasional dan diplomasi;327;Ilmu-ilmu sosial;<49568><60582>
Dasar-dasar manajemen rantai pasok;659;Ilmu-ilmu terapan;<49470><49471><49482><60577>
Hukum adat indonesia;342;Ilmu-ilmu sosial;<60552>
Utuh sebagai jiwa : saat menghadapi depresi dan kecemasan;100;Filsafat;<60553>
Manajemen pelayanan publik 4.0;658;Ilmu-ilmu terapan;<60558>
Ekonomi internasional;330;Ilmu-ilmu sosial;<60559>
Pemanfaatan rumput laut sebagai bahan baku kosmetik;589;Ilmu-ilmu murni;<60562>
8 Jurus editing foto dengan photoshop CC 2020;7;Karya umum;<60563>
Pengantar ilmu politik;320;Ilmu-ilmu sosial;<45388><45389><46587><60573>
Peran kearifan lokal dan modal sosial;300;Ilmu-ilmu sosial;<60503><60572>
Kapitalisme sebuah pengantar singkat;101;Filsafat;<50788><60571>
Kamus praktis kata kerja bahasa indonesia;413;Bahasa;<60564>
Pemasaran strategik domain, determinan, dinamika Ed. 4;658;Ilmu-ilmu terapan;<46639><47999><48000><60570>
Multikulturalisme & Politik Identitas Dalam Teori dan Praktik;321;Ilmu-ilmu sosial;<44462><48216><48226><49569><60489><60569>
Sistem demokrasi pancasila ed.2;320;Ilmu-ilmu sosial;<60479><60568>
Usaha penangkapan ikan laut dalam;640;Ilmu-ilmu terapan;<60565>
Kunci sukses budidaya udang vaname : pengelolaan akuakultur berbasis ekologi mikroba;640;Ilmu-ilmu terapan;<60566>
Strategi pembelajaran dalam profesi keguruan;371;Ilmu-ilmu sosial;<45491><48297><60567>
Statistika penelitian;310;Ilmu-ilmu sosial;<49938><60557>
Dasar-dasar deep learning dan implementasinya;371;Ilmu-ilmu sosial;<50758><60509><60555>
HTML, PHP, DAN MYSQL UNTUK PEMULA;4;Karya umum;<37153><44286><44351><45196><49887><50641><60550>
Pemrograman dan komputasi numerik menggunakan python;5;Karya umum;<49899><50748><60549>
Ilmu tetang plankton dan peranannya di lingkungan perairan;578;Ilmu-ilmu murni;<49826><50712><60425><60548>
Kawasan ekonomi keberadaan, peluang dan tantangan;330;Ilmu-ilmu sosial;<60535>
The fastest english grammar;425;Bahasa;<60537>
The Aims of education belajar mencintai sains belajar menghormati humaniora;370;Ilmu-ilmu sosial;<60538>
Public policy dinamika kebijakan publik analisis kebijakan publik 7;352;Ilmu-ilmu sosial;<60545>
Finding meaning mencari makna di balik dukacita tahap keenam kedukaan;616;Ilmu-ilmu terapan;<60540>
Mengeksplorasi fungsi vlookup, hlookup, & lookup excel;6;Karya umum;<60446><60547>
Inovasi Pemerintahan : Menuju Tata Kelola Pemerintahan Daerah Ideal;352;Ilmu-ilmu sosial;<45188><45400><46523><60392><60393><60394><60546>
Tindak pidana tertentu di dalam kitab undang-undang hukum pidana;345;Ilmu-ilmu sosial;<50816><60543>
Dinamika kebijakan pemerintah menghadapi pandemi covid 19;354;Ilmu-ilmu sosial;<60516>
Brian tracy the psychology of selling : lipat gandakan penjualan anda di pasar mana pun;151;Filsafat;<48294><60539>
Teach like fun teacher metode pembelajaran menyenangkan ala finlandia;371;Ilmu-ilmu sosial;<60512>
Hukum islam (suatu pengantar);297;Agama;<60515>
Manajemen Birokrasi dan Kebijakan rnPenelusuran Konsep dan Teori;352;Ilmu-ilmu sosial;<27381><27382><27383><27384><27385><27386><27387><27388><39885><60521>
Jaringan nirkabel 5G berbasis cloud reability, mobility, energy efficiency, latency;5;Karya umum;<46746><46749><48119><48120><48121><48122><48175><60464><60536>
Mudah membuat animasi & game dengan visual basic from beginner to master;5;Karya umum;<50653><60533>
Rahasia sukses budidaya ikan mas;639;Ilmu-ilmu terapan;<49985><60452><60532>
Rumput laut indonesia : keanekaragaman rumput laut Nusa Tenggara Timur;580;Ilmu-ilmu murni;<48266><49488><60310><60531>
Pengantar kimia analitik modern : metode dan aplikasi;543;Ilmu-ilmu murni;<48208><49510><60530>
Pancasila eksistensi dan aktualisasi;321;Ilmu-ilmu sosial;<46721><46722><49593><60529>
Mahkamah konstitusi dan kepastian hukum pimilu;342;Ilmu-ilmu sosial;<46626><49501><60527>
Pengantar ilmu hukum pajak;343;Ilmu-ilmu sosial;<49842><60466><60467><60526>
Pembangunan kota hijau;711;Kesenian, hiburan, dan olahraga;<49591><60525>
Hak asasi manusia dalam perspektif hukum nasional;341;Ilmu-ilmu sosial;<60449><60495><60524>
Pendidikan pancasila untuk perguruan tinggi;320;Ilmu-ilmu sosial;<60504>
Kepemimpinan Kepala Desa;303;Ilmu-ilmu sosial;<60246><60247><60430><60520>
Metode terbaik menguasai bahasa inggris;420;Bahasa;<60494>
Kepemimpinan efektif : teori, penelitian, & praktik;158;Filsafat;<48099><48100><60490><60491><60518>
Mengenal hukum suatu pengantar;340;Ilmu-ilmu sosial;<46591><48229><60447><60517>
Pengantar peluang & distribusi;511;Ilmu-ilmu murni;<60493>
Penyelesaian perkara pidana penerapan keadilan restoratif dan transformatif;345;Ilmu-ilmu sosial;<60496>
Sains covid-19;616;Ilmu-ilmu terapan;<60498>
Tatalaksana stroke dan penyakit vaskuler lain;616;Ilmu-ilmu terapan;<60500>
Sedimentologi;551;Ilmu-ilmu murni;<60502>
Firebase membangun aplikasi berbasis android;5;Karya umum;<48237><60514>
Pendidikan pancasila untuk perguruan tinggi;370;Ilmu-ilmu sosial;<788APBN3.1><788APBN3.2><788APBN3.3><788APBN3.4><19088><19562><19563><19564><19565><18512><31428>
Kebijakan sosial : sebagai kebijakan publik;303;Ilmu-ilmu sosial;<2122.1><38214><48179><60513>
Lancar ngomong bahasa inggris untuk pemula;420;Bahasa;<60511>
Menguasai pemograman arduino dan robotik;5;Karya umum;<46581><46695><46708><48259><60510>
Koleksi program database python : menggunakan database sqlite dan mysql;4;Karya umum;<48200><48246><48254><60505><60508>
Pengantar oseano grafi;551;Ilmu-ilmu murni;<46767><60507>
Aplikasi kuitansi stok barang & penggajian dengan MS Excel;5;Karya umum;<49422><49423><60506>
Teori & praktik menulis karya tulis ilmiah;1;Karya umum;<49839><60501>
Sistem ketatanegaraan indonesia pasca-amandemen;342;Ilmu-ilmu sosial;<60453><60497>
Ekranisasi karya sastra & pembelajarannya;801;Kesusastraan;<60478>
Akuntansi syariah;657;Ilmu-ilmu terapan;<60475>
Model-model pembelajaran inovatif teori dan implementasi;371;Ilmu-ilmu sosial;<60476>
Pembelajaran abad 21 edisi revisi;371;Ilmu-ilmu sosial;<60477>
Sosialisme sebuah pengantar singkat;300;Ilmu-ilmu sosial;<60473>
Wajah baru terorisme;303;Ilmu-ilmu sosial;<60481>
Samurai jalan kehormatan;823;Kesusastraan;<60482>
Pedoman umum ejaan baku dan tindak baku dalam bahasa indonesia plus ebi;499;Bahasa;<60483>
Kebijakan pendidikan dari filosofi ke implementasi;371;Ilmu-ilmu sosial;<2180.1><30346><60492>
Konservasi laut dalam pendekatan biologi;570;Ilmu-ilmu murni;<50683><60431><60487>
Ekonomi politik daulat rakyat indonesia pancasila sebagai acuan paradigma;338;Ilmu-ilmu sosial;<49608><60484>
Dasar sains sadar sains membangun masyarakat sadar sains;501;Ilmu-ilmu murni;<48284><60480>
Pengantar ilmu politik;320;Ilmu-ilmu sosial;<60465>
Hukum acara perdata indonesia;347;Ilmu-ilmu sosial;<60454>
Manajemen mina bisnis komoditas perikanan;639;Ilmu-ilmu terapan;<60458>
Distribusi mikroalga di perairan indonesia;580;Ilmu-ilmu murni;<60459>
Plantkton selat bali identifikasi, dinamika, dan solusi pemantauannya;578;Ilmu-ilmu murni;<60460>
Dasar-dasar teknik elektronika;621;Ilmu-ilmu terapan;<60462>
Manajemen risiko keuangan syariah;298;Agama;<60448><60471>
Kebijakan akuntansi pemerintah daerah (konsep dan implementasi);657;Ilmu-ilmu terapan;<60468>
Analisis laporan keuangan teori, aplikasi & hasil penelitian;657;Ilmu-ilmu terapan;<2705.1><2705.2><17171><17351><17563><40020><40173><40174><40175><40176><36341><37728><43285><46552><46553><46614><46656><46690><49664><49665><49662><60364><60470>
Cloud computing : manajemen dan perancanaan kapasitas;5;Karya umum;<48068><48069><60463>
PENDIDIKAN KARAKTER;370;Ilmu-ilmu sosial;<3651><568.1><19518><21522><60433>
The 5 essential people skills menjadi pribadi yang tegas,;158;Filsafat;<60435>
Statistika deskriptif & Konsep peluang aplikasi R-Stat;520;Ilmu-ilmu murni;<60437>
From Zero to master english speaking;428;Bahasa;<60438>
101 Kesalahan guru dalam pembelajaran;371;Ilmu-ilmu sosial;<60439>
Optimalisasi pembelajaran jarah jauh (PJJ) daring luring bdr;371;Ilmu-ilmu sosial;<60440>
Perubahan model kepemimpinan ideal time for a change;206;Agama;<60442>
CARA MENGGUNAKAN DAN MEMAKNAI PATH ANALYSIS;3;Karya umum;<25619><25620><25621><25197><25198><25199><25200><60443>
Perilaku organisasi;302;Ilmu-ilmu sosial;<60445>
Delik-delik korupsi;345;Ilmu-ilmu sosial;<49599><60456>
Pemrograman android dengan lutter belajar;4;Karya umum;<60450>
STATISTIK UNTUK PENELITIAN;310;Ilmu-ilmu sosial;<559APBN3.1><559APBN3.2><60444>
7 in 1 pemrograman web untuk pemula cara cepat dan efektif  menjadi web progmmer;5;Karya umum;<50771><60441>
Tata kelola pemerintahan yang baik dan pengadaan barang/jasa pemerintah;658;Ilmu-ilmu terapan;<60412><60413>
Hukum perlindungan konsumen (dimensi hukum positif dan ekonomi syariah);381;Ilmu-ilmu sosial;<60420><60421>
Penelitian tindakan kelas teori dan praktek;371;Ilmu-ilmu sosial;<1858.1><40685>
Model-model pengajaran dan pembelajaran;372;Ilmu-ilmu sosial;<23343><23344><23345><23346><22725><21387><24435><24436><24451><24452><24453><24485><24486><24492><24493><24494><37639><39281>
Sosiolinguistik perkenalan awal;306;Ilmu-ilmu sosial;<148sm3><205sm3><451sm3><143PB3.1><143PB3.2><17891><32751><60417>
Penegakan hukum lingkungan ed. revisi;344;Ilmu-ilmu sosial;<48270><49460><49461><49583><60436>
Accounting- Indonesia adaptation Pengantar akuntansi adaptasi indonesia;657;Ilmu-ilmu terapan;<2283.1><2283.2><2283.3><2283.4><2283.5><17394>
Revolusi kecerdasan abad  21;304;Ilmu-ilmu sosial;<215APBN3.1><215APBN3.2><215APBN3.3><215APBN3.4><215APBN3.5><18127><18128><18129><18130><18131><18132><19391><19397><19820><31404><60434>
Biekonomi perikanan pendekatan statis dan dinamis;639;Ilmu-ilmu terapan;<50745><60432>
Wakaf uang pengelolaan dalam hukum islam dan hukum positif di Indonesia;297;Agama;<49597><49806><49807><49865><49941><49953><50673><60429>
Hukum dagang;346;Ilmu-ilmu sosial;<49454><49455><60322><60428>
Pengantar statistika sosial;310;Ilmu-ilmu sosial;<13.028><2793.1><2793.2><2793.3><60016><10158><10159><10160><40968><22343><34567><23336><21296><37718><37955><43054><49484><60424>
Pelayanan publik : berbasis regional complex analysis;361;Ilmu-ilmu sosial;<48101><48102><49408><49409><60422>
Hak kekayaan intelektual dalam berbagai peraturan perundang-undangan;346;Ilmu-ilmu sosial;<29774><29775><35052><35053>
Biologi;570;Ilmu-ilmu murni;<44699><44700>
Public policy : Teori, manajemen, dinamika, analisis, konvergensi, dan kimia kebijakan;658;Ilmu-ilmu terapan;<P249><109sm3><324sm3><21872>
Keterampilan membaca;418;Bahasa;<60418><K01110002>
eyd terbaru permendiknas nomor 46 tahun 2009;410;Bahasa;<60416><610.2>
Interaksi & motivasi belajar mengajar;371;Ilmu-ilmu sosial;<I160><166sm3><564APBN3.1><564APBN3.2><564APBN3.3><564APBN3.4><564APBN3.5><564THP3.8><564THP3.9><564APBN3.6><564APBN3.7><564THP3.10><19687><19688><19689><19764><20541><20542><20872><40408><60101><42322><42522><37079><37218><37219><38743><564THP3.6>
Hubungan internasional dan pemikiran non-barat;322;Ilmu-ilmu sosial;<H258><39368>
Hukum administrasi negara;351;Ilmu-ilmu sosial;<49535><60414>
Sistem fuzzy : panduan lengkap aplikatif;511;Ilmu-ilmu murni;<48103><48104><50701><60396>
Manajemen limbah industri perikanan;628;Ilmu-ilmu terapan;<45293><60312><60351><60387>
TEORI DAN PRATIK PENELITIAN KUANTITATIF KUALITATIF;1;Karya umum;<37244><37472><37571><37714><37801><44016><44038><44318><44362><44379><45192><45301><45354><45385><60378>
Teori & strategi perubahan sosial;300;Ilmu-ilmu sosial;<46741><48040><48041><48042><48043><48044><48045><48046><48047><48048><60233><60234><60235><60338><60377>
Manajemen sumber daya manusia;658;Ilmu-ilmu terapan;<229sm3><1731.1><1731.2><1731.3><60017><33716><42975><23129><27757><29557><29910><37786><37867><37892><37925><37937><37938><38747><38748><46544><46545><46568><46570><46649><49397><49398><60332><60345><60358><60365><60374>
Ilmu negara;320;Ilmu-ilmu sosial;<48244><48298><49934><50757><60372>
Intisari manajemen pemasaran;659;Ilmu-ilmu terapan;<50795><60361>
Kewirausahaan buku ajar untuk mahasiswa;338;Ilmu-ilmu sosial;<49589><60350><60359><60360>
Comprehensive english situational speaking : percakapan lengkap untuk berbagai situasi;420;Bahasa;<48127><48128><48129><48130><49437><49438><49439><49440><49441><49512><60264><60306><60357>
Mengembalikan kejayaan partai ka'bah  rencana dan aksi;324;Ilmu-ilmu sosial;<49924><50764><60356>
TOKSIKOLOGI LINGKUNGAN;616;Ilmu-ilmu terapan;<50406><48210><49468><49469><49491><49987><50668><60355>
Manajemen Sumber Daya Manusia Edisi Revisi;658;Ilmu-ilmu terapan;<44315><44392><44400><44420><44430><44432><46572><60346>
Pengantar manajemen;658;Ilmu-ilmu terapan;<49588><60344>
Sistem informasi bisnis dunia versi 4.0;29;Karya umum;<46625><46696><60342>
Sosiologi gender;301;Ilmu-ilmu sosial;<46734><48217><49882><49962><60341>
Biologi sel dan molekuler untuk profesi kesehatan;572;Ilmu-ilmu murni;<48222><49485><49486><49860><60339>
Manajemen sumberdaya manusia;658;Ilmu-ilmu terapan;<50685><60337>
Psikologi politik;302;Ilmu-ilmu sosial;<49492><49493><49494><49495><60240><60241><60242><60336>
Fundamental manajemen proses bisnis : konsep dasar dan metode yang telah terbukti;658;Ilmu-ilmu terapan;<48180><48181><48235><49581><60283><60284><60285><60335>
Manajemen kinerja : konsep praktis & perspektif islam;297;Agama;<49401><49402><49481><60333><60334>
Politik melayu;320;Ilmu-ilmu sosial;<48049><48050><48134><49483><49689><49690><49691><49692><49693><60256><60327>
Model pengembangan kompetensi pedagogik : teori, konsep, dan konstruk pengukuran;371;Ilmu-ilmu sosial;<48161><48162><60326>
Pengantar bisnis;650;Ilmu-ilmu terapan;<49590><60325>
Dasar-dasar manajemen;650;Ilmu-ilmu terapan;<17457><49399><49400><60324>
Matematika teknik untuk politeknik;510;Ilmu-ilmu murni;<46774><48238><48305><49489><49490><60323>
Biokimia dasar-dasar biomolekul dan konsep metabolisme;612;Ilmu-ilmu terapan;<45395><48145><48146><48234><49577><60320>
Kalkulus jilid 1;515;Ilmu-ilmu murni;<48064><48065><49346><49347><60317><60318><60395>
Prinsip-prinsip kritik sastra;800;Kesusastraan;<49521><49960><60316>
Teknik kontrol automatik;630;Ilmu-ilmu terapan;<49532><60309>
Dasar dasar perikanan dan kelautan;639;Ilmu-ilmu terapan;<46669><48213><60308>
Kimia pangan komponon makro;664;Ilmu-ilmu terapan;<46723><46724><46725><48038><48039><49377><49378><49379><60278><60279>
Survival teacher 7 pola pikir agar guru lebih adaptif di era Baru;370;Ilmu-ilmu sosial;<49462><49463><49464><49680><49681><49682><49683><49684><49685><60266><60267><60268><60269><60270>
Akuntansi keuangan : pemahaman perhitungan dan pencatatan akuntansi keuangan;657;Ilmu-ilmu terapan;<47992><47993><48154><48155><48156><49388><49389><49390><49391><49392><50971><60254><60255><60291><60292><60293><60294><60295>
Perikanan berkelanjutan;639;Ilmu-ilmu terapan;<48097><48098><49843><49923><60252><60253>
Hukum administrasi negara;340;Ilmu-ilmu sosial;<H004><H004.1><101sm3><145sm3><155sm3><158sm3><2112.1><2112.2><2112.3><2112.7><2112.6><2112.4><2112.5><17685><42184><29113><39851><48116><49478>
HUKUM ADMINISTRASI NEGARA;340;Ilmu-ilmu sosial;<15.128.2><15.128.1><60243><60244><60245>
Pengantar ilmu hukum;340;Ilmu-ilmu sosial;<49428><49429><49430><50639><60229><60230><60231><60232>
Etika politik prinsip moral dasar kenegaraan modern;172;Filsafat;<2139.1><2139.3><2139.2><48114><48115><49410><49411><49412><49413><49414><49415><49416><49663><49771><50967><60216><60217><60218><60219><60220><60221><60222><60223><60224><60225><60226>
Metode Penelitian Kuantitatif, Kualitatif dan R&D;1;Karya umum;<M066><M066.1><175sm3><424sm3><851APBN3.1><851APBN3.2><851APBN3.3><851APBN3.4><851APBN3.5><538.021><1490.1><1490.2><1490.3><533><1490.4><1490.5><1490.6><1490.7><1490.8><1490.9><17212><17255><17261><17176><17177><17178><17337><17546><17547><17548><17558><17653><17499><17830><18222><18223><19052><30012><30013><30163><30164><30165><30166><30167><30168><30169><30170><30172><30173><30174><30175><30176><30211><30212><30213><30668><30669><30670><30671><30672><30673><30674><30675><30676><30677><30678><30679><30680><30681><30682><30683><30684><30685><30908><30909><31179><31585><40034><42042><33621><34070><42614><42756><23126><23167><21886><21936><24439><24440><29438><35559><37116><37117><37118><37119><37120><37275><37276><37277><37278><37305><37306><37307><37314><37315><37338><37339><37340><37341><37421><37422><37423><37488><37489><37561><37566><37567><37568><37569><37570><37607><37614><37674><37731><37736><37739><37765><37788><37792><37866><37883><37884><37885><37886><37899><37922><37949><44285><44427><45335><45436><45366><45455><49655><49802>
Pengantar manajemen;658;Ilmu-ilmu terapan;<19212><19772><38199>
Pengantar akuntansi 2;657;Ilmu-ilmu terapan;<26357><26358><26359><26360><26361><26362><26363>
Pengantar akuntansi II;657;Ilmu-ilmu terapan;<1159.3.1><40094><40095><40096><40097><40098><40099><40100><40101><40186><40187><40188><40189><40190><40191><40192><40193><34583><29905><39955>
Pengantar Akuntansi 2 Edisi Revisi;657;Ilmu-ilmu terapan;<43566>
Audit manajemen;658;Ilmu-ilmu terapan;<41528><41529>
MOLUSKA PADANG LAMUN;594;Ilmu-ilmu murni;<0131>
Kamus bergambar kecilku Mandarin-Indonesia dilengkapi pena bersuara;413;Bahasa;<50939><50940><50941><60206>
Global restructuring and chinese diplomacy in new era;320;Ilmu-ilmu sosial;<60215>
Chinese 101 in cartoons (for eating out);742;Kesenian, hiburan, dan olahraga;<60212>
Burhan Uray berbakti untuk indonesia;320;Ilmu-ilmu sosial;<60213>
Love in the forest with Burhan Uray;320;Ilmu-ilmu sosial;<60214>
Kata kunci tiongkok pengelolaan negara dan pemerentahan;495;Bahasa;<60207><60208>
Library of chinese classics chines-english Journey to the west III;21;Karya umum;<60197>
Library of chinese classics chinese english Three Kingdoms I;21;Karya umum;<60209><60210>
Library of Chinese classics chinese english selections;21;Karya umum;<60211>
A complete handbook of spoken chines;495;Bahasa;<60196>
Chinese houses of suotheast asia the electric architecture of sojurners and settlers;728;Kesenian, hiburan, dan olahraga;<60198>
